locus_tag	ftype	length_bp	gene	EC_number	COG	product
JHHNKHIK_00001	CDS	1362	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JHHNKHIK_00002	CDS	1119	dnaN			Beta sliding clamp
JHHNKHIK_00003	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
JHHNKHIK_00004	CDS	621				hypothetical protein
JHHNKHIK_00005	CDS	2451	gyrB	5.6.2.2		DNA gyrase subunit B
JHHNKHIK_00006	CDS	636	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
JHHNKHIK_00007	CDS	1734				hypothetical protein
JHHNKHIK_00008	CDS	1185	ynjB		COG4134	Protein YnjB
JHHNKHIK_00009	CDS	612	ynjF		COG0558	Inner membrane protein YnjF
JHHNKHIK_00010	CDS	1146	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
JHHNKHIK_00011	CDS	672				hypothetical protein
JHHNKHIK_00012	CDS	528				hypothetical protein
JHHNKHIK_00013	CDS	1005	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
JHHNKHIK_00014	CDS	1140	alkB2	1.14.15.3		Alkane 1-monooxygenase 2
JHHNKHIK_00015	CDS	1062				hypothetical protein
JHHNKHIK_00016	CDS	1116				hypothetical protein
JHHNKHIK_00017	CDS	639	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JHHNKHIK_00018	CDS	660				hypothetical protein
JHHNKHIK_00019	CDS	291				hypothetical protein
JHHNKHIK_00020	CDS	705				hypothetical protein
JHHNKHIK_00021	CDS	471				hypothetical protein
JHHNKHIK_00022	CDS	402				hypothetical protein
JHHNKHIK_00023	CDS	1095	nspC	4.1.1.96	COG0019	Carboxynorspermidine/carboxyspermidine decarboxylase
JHHNKHIK_00024	CDS	1239		1.5.1.43		Carboxynorspermidine synthase
JHHNKHIK_00025	CDS	510	msrA3	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 3
JHHNKHIK_00026	CDS	804				hypothetical protein
JHHNKHIK_00027	CDS	1464				hypothetical protein
JHHNKHIK_00028	CDS	894				hypothetical protein
JHHNKHIK_00029	CDS	609	pal_1			Peptidoglycan-associated lipoprotein
JHHNKHIK_00030	CDS	2136	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
JHHNKHIK_00031	CDS	471				hypothetical protein
JHHNKHIK_00032	CDS	738	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
JHHNKHIK_00033	CDS	684				hypothetical protein
JHHNKHIK_00034	CDS	3576				hypothetical protein
JHHNKHIK_00035	CDS	1389				hypothetical protein
JHHNKHIK_00036	CDS	1341				hypothetical protein
JHHNKHIK_00037	CDS	1617				hypothetical protein
JHHNKHIK_00038	CDS	294				hypothetical protein
JHHNKHIK_00039	CDS	618				hypothetical protein
JHHNKHIK_00040	CDS	2064	vgrG1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
JHHNKHIK_00041	CDS	327				hypothetical protein
JHHNKHIK_00042	CDS	2064				hypothetical protein
JHHNKHIK_00043	CDS	1482				hypothetical protein
JHHNKHIK_00044	CDS	903				hypothetical protein
JHHNKHIK_00045	CDS	1581	clpV1_1		COG0542	Protein ClpV1
JHHNKHIK_00046	CDS	1047	clpV1_2		COG0542	Protein ClpV1
JHHNKHIK_00047	CDS	1074				hypothetical protein
JHHNKHIK_00048	CDS	1878				hypothetical protein
JHHNKHIK_00049	CDS	528				hypothetical protein
JHHNKHIK_00050	CDS	840				hypothetical protein
JHHNKHIK_00051	CDS	540				hypothetical protein
JHHNKHIK_00052	CDS	1494				hypothetical protein
JHHNKHIK_00053	CDS	513				hypothetical protein
JHHNKHIK_00054	CDS	1065				hypothetical protein
JHHNKHIK_00055	CDS	366				hypothetical protein
JHHNKHIK_00056	CDS	1023				hypothetical protein
JHHNKHIK_00057	CDS	3345				hypothetical protein
JHHNKHIK_00058	CDS	2433			COG2307	putative protein
JHHNKHIK_00059	CDS	891			COG1305	putative protein
JHHNKHIK_00060	CDS	1173	phaA	2.3.1.9		Acetyl-CoA acetyltransferase
JHHNKHIK_00061	CDS	726	phaB	1.1.1.36		Acetoacetyl-CoA reductase
JHHNKHIK_00062	CDS	537	resA			Thiol-disulfide oxidoreductase ResA
JHHNKHIK_00063	CDS	1416	argH	4.3.2.1	COG0165	Argininosuccinate lyase
JHHNKHIK_00064	CDS	135				hypothetical protein
JHHNKHIK_00065	CDS	327				hypothetical protein
JHHNKHIK_00066	CDS	750	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
JHHNKHIK_00067	CDS	1266	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JHHNKHIK_00068	CDS	2547				hypothetical protein
JHHNKHIK_00069	CDS	627				hypothetical protein
JHHNKHIK_00070	tRNA	79				tRNA-Asn(att)
JHHNKHIK_00071	CDS	1020				hypothetical protein
JHHNKHIK_00072	CDS	6348				hypothetical protein
JHHNKHIK_00073	CDS	1410				hypothetical protein
JHHNKHIK_00074	CDS	2139	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
JHHNKHIK_00075	CDS	270	rpsO		COG0184	30S ribosomal protein S15
JHHNKHIK_00076	CDS	1104				hypothetical protein
JHHNKHIK_00077	CDS	594				hypothetical protein
JHHNKHIK_00078	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
JHHNKHIK_00079	CDS	336				hypothetical protein
JHHNKHIK_00080	CDS	444				hypothetical protein
JHHNKHIK_00081	CDS	1578	ywrD_1	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
JHHNKHIK_00082	CDS	327	hspQ			Heat shock protein HspQ
JHHNKHIK_00083	CDS	882				hypothetical protein
JHHNKHIK_00084	CDS	588				hypothetical protein
