locus_tag	ftype	length_bp	gene	EC_number	COG	product
LHHIPBPA_00001	CDS	1416	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LHHIPBPA_00002	CDS	270	rpsT		COG0268	30S ribosomal protein S20
LHHIPBPA_00003	CDS	789	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
LHHIPBPA_00004	CDS	543				hypothetical protein
LHHIPBPA_00005	CDS	864	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
LHHIPBPA_00006	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
LHHIPBPA_00007	CDS	540				hypothetical protein
LHHIPBPA_00008	CDS	252				hypothetical protein
LHHIPBPA_00009	CDS	378				hypothetical protein
LHHIPBPA_00010	CDS	786	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
LHHIPBPA_00011	CDS	1056				hypothetical protein
LHHIPBPA_00012	CDS	912				hypothetical protein
LHHIPBPA_00013	CDS	828				hypothetical protein
LHHIPBPA_00014	CDS	477	ibpA		COG0071	Small heat shock protein IbpA
LHHIPBPA_00015	CDS	1233				hypothetical protein
LHHIPBPA_00016	CDS	1275				hypothetical protein
LHHIPBPA_00017	CDS	567				hypothetical protein
LHHIPBPA_00018	CDS	726	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LHHIPBPA_00019	CDS	1497	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
LHHIPBPA_00020	CDS	1326				hypothetical protein
LHHIPBPA_00021	CDS	1044				hypothetical protein
LHHIPBPA_00022	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
LHHIPBPA_00023	CDS	1815	nodM	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LHHIPBPA_00024	CDS	879	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
LHHIPBPA_00025	CDS	231				hypothetical protein
LHHIPBPA_00026	CDS	753				hypothetical protein
LHHIPBPA_00027	CDS	978	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
LHHIPBPA_00028	CDS	489	infC			Translation initiation factor IF-3
LHHIPBPA_00029	CDS	891	tetA			Tetracycline resistance protein, class C
LHHIPBPA_00030	CDS	315				hypothetical protein
LHHIPBPA_00031	CDS	288				hypothetical protein
LHHIPBPA_00032	CDS	1938	dapb3	3.4.14.-		Dipeptidyl aminopeptidase BIII
LHHIPBPA_00033	CDS	198	rpmI		COG0291	50S ribosomal protein L35
LHHIPBPA_00034	CDS	360	rplT		COG0292	50S ribosomal protein L20
LHHIPBPA_00035	CDS	204				hypothetical protein
LHHIPBPA_00036	CDS	1089	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
