locus_tag	ftype	length_bp	gene	EC_number	COG	product
CJBLAEJA_00001	CDS	1515	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
CJBLAEJA_00002	CDS	477				hypothetical protein
CJBLAEJA_00003	CDS	264	rpsT		COG0268	30S ribosomal protein S20
CJBLAEJA_00004	CDS	777	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
CJBLAEJA_00005	CDS	393				hypothetical protein
CJBLAEJA_00006	CDS	882	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
CJBLAEJA_00007	CDS	801	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
CJBLAEJA_00008	CDS	1605	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
CJBLAEJA_00009	CDS	1245	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CJBLAEJA_00010	CDS	465	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
CJBLAEJA_00011	CDS	450	iscR_1		COG1959	HTH-type transcriptional regulator IscR
CJBLAEJA_00012	CDS	960	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
CJBLAEJA_00013	CDS	492			COG1733	putative HTH-type transcriptional regulator
CJBLAEJA_00014	CDS	729				hypothetical protein
CJBLAEJA_00015	CDS	603	nsaD_1	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
CJBLAEJA_00016	CDS	804				hypothetical protein
CJBLAEJA_00017	CDS	600	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
CJBLAEJA_00018	CDS	210	ttuC	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
CJBLAEJA_00019	CDS	168				hypothetical protein
CJBLAEJA_00020	CDS	993		1.1.1.29		Glycerate dehydrogenase
CJBLAEJA_00021	CDS	600				hypothetical protein
CJBLAEJA_00022	CDS	420				hypothetical protein
CJBLAEJA_00023	CDS	522	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
CJBLAEJA_00024	CDS	1227	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
CJBLAEJA_00025	CDS	870	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
CJBLAEJA_00026	CDS	582	tetC			Transposon Tn10 TetC protein
CJBLAEJA_00027	CDS	414				hypothetical protein
CJBLAEJA_00028	CDS	255				hypothetical protein
CJBLAEJA_00029	CDS	351				hypothetical protein
CJBLAEJA_00030	CDS	630				hypothetical protein
CJBLAEJA_00031	CDS	1191	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
CJBLAEJA_00032	CDS	996				hypothetical protein
CJBLAEJA_00033	CDS	270	rpsO		COG0184	30S ribosomal protein S15
CJBLAEJA_00034	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
CJBLAEJA_00035	CDS	426	rbfA			Ribosome-binding factor A
CJBLAEJA_00036	CDS	2610	infB		COG0532	Translation initiation factor IF-2
CJBLAEJA_00037	CDS	699				hypothetical protein
CJBLAEJA_00038	CDS	1620	nusA		COG0195	Transcription termination/antitermination protein NusA
CJBLAEJA_00039	CDS	609	rimP			Ribosome maturation factor RimP
CJBLAEJA_00040	CDS	705	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
CJBLAEJA_00041	CDS	1170	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
CJBLAEJA_00042	CDS	411				hypothetical protein
CJBLAEJA_00043	CDS	1662	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
CJBLAEJA_00044	CDS	960				hypothetical protein
CJBLAEJA_00045	CDS	549	ybeY	3.1.-.-		Endoribonuclease YbeY
CJBLAEJA_00046	CDS	1026			COG1702	PhoH-like protein
CJBLAEJA_00047	CDS	1437	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
CJBLAEJA_00048	CDS	858				hypothetical protein
CJBLAEJA_00049	CDS	492	fur		COG0735	Ferric uptake regulation protein
CJBLAEJA_00050	CDS	480	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
CJBLAEJA_00051	CDS	693	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
CJBLAEJA_00052	CDS	594	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
CJBLAEJA_00053	CDS	564	nfuA			Fe/S biogenesis protein NfuA
CJBLAEJA_00054	CDS	504				hypothetical protein
CJBLAEJA_00055	CDS	657				hypothetical protein
CJBLAEJA_00056	CDS	948				hypothetical protein
CJBLAEJA_00057	CDS	936				IS3 family transposase ISXau1
CJBLAEJA_00058	CDS	618				hypothetical protein
CJBLAEJA_00059	CDS	1089				hypothetical protein
CJBLAEJA_00060	CDS	111				hypothetical protein
CJBLAEJA_00061	CDS	813	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
CJBLAEJA_00062	CDS	2691				hypothetical protein
CJBLAEJA_00063	CDS	468	lrp_1		COG1522	Leucine-responsive regulatory protein
CJBLAEJA_00064	CDS	876				hypothetical protein
CJBLAEJA_00065	CDS	1542	murJ		COG0728	Lipid II flippase MurJ
CJBLAEJA_00066	CDS	2793	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
CJBLAEJA_00067	CDS	708				hypothetical protein
CJBLAEJA_00068	CDS	2673	mutS		COG0249	DNA mismatch repair protein MutS
CJBLAEJA_00069	CDS	2265	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
CJBLAEJA_00070	CDS	1026				hypothetical protein
CJBLAEJA_00071	CDS	1431	ampG		COG0477	Anhydromuropeptide permease
CJBLAEJA_00072	CDS	687	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CJBLAEJA_00073	CDS	1314	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CJBLAEJA_00074	CDS	633	comM_1		COG0606	Competence protein ComM
CJBLAEJA_00075	CDS	267				IS3 family transposase ISMamg1
CJBLAEJA_00076	CDS	936				IS3 family transposase ISXau1
CJBLAEJA_00077	CDS	624				hypothetical protein
CJBLAEJA_00078	CDS	228				hypothetical protein
CJBLAEJA_00079	CDS	963				IS1595 family transposase ISMtsp22
CJBLAEJA_00080	tRNA	76				tRNA-Gly(ccc)
CJBLAEJA_00081	CDS	429				IS1595 family transposase ISSst2
CJBLAEJA_00082	CDS	945	comM_2		COG0606	Competence protein ComM
CJBLAEJA_00083	CDS	1278				hypothetical protein
CJBLAEJA_00084	CDS	939	gshB	6.3.2.3	COG0189	Glutathione synthetase
CJBLAEJA_00085	CDS	846				hypothetical protein
CJBLAEJA_00086	CDS	573				hypothetical protein
CJBLAEJA_00087	CDS	375				hypothetical protein
CJBLAEJA_00088	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
CJBLAEJA_00089	CDS	1290				hypothetical protein
CJBLAEJA_00090	CDS	1179	hemW		COG0635	Heme chaperone HemW
CJBLAEJA_00091	CDS	606		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
CJBLAEJA_00092	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
CJBLAEJA_00093	CDS	1056	hrcA		COG1420	Heat-inducible transcription repressor HrcA
CJBLAEJA_00094	CDS	444	grpE		COG0576	Protein GrpE
CJBLAEJA_00095	CDS	705				hypothetical protein
CJBLAEJA_00096	CDS	672				hypothetical protein
CJBLAEJA_00097	CDS	564				hypothetical protein
CJBLAEJA_00098	CDS	1926	dnaK		COG0443	Chaperone protein DnaK
CJBLAEJA_00099	CDS	1158	dnaJ_1		COG0484	Chaperone protein DnaJ
CJBLAEJA_00100	CDS	351				hypothetical protein
CJBLAEJA_00101	CDS	1326				hypothetical protein
CJBLAEJA_00102	CDS	819	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
CJBLAEJA_00103	CDS	633	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
CJBLAEJA_00104	CDS	516				hypothetical protein
CJBLAEJA_00105	CDS	657	nth	4.2.99.18	COG0177	Endonuclease III
CJBLAEJA_00106	CDS	354				hypothetical protein
CJBLAEJA_00107	CDS	684				hypothetical protein
CJBLAEJA_00108	CDS	1062	RBKS	2.7.1.15		Ribokinase
CJBLAEJA_00109	CDS	897	coaA	2.7.1.33	COG1072	Pantothenate kinase
CJBLAEJA_00110	CDS	330	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
CJBLAEJA_00111	CDS	1104				hypothetical protein
CJBLAEJA_00112	CDS	1533				hypothetical protein
CJBLAEJA_00113	CDS	759	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
CJBLAEJA_00114	CDS	732	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
CJBLAEJA_00115	CDS	642	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
CJBLAEJA_00116	CDS	489				hypothetical protein
CJBLAEJA_00117	CDS	612	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
CJBLAEJA_00118	CDS	531				hypothetical protein
CJBLAEJA_00119	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
CJBLAEJA_00120	CDS	1305	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
CJBLAEJA_00121	CDS	1083				hypothetical protein
CJBLAEJA_00122	CDS	1062	vldW	1.14.11.52		Validamycin A dioxygenase
CJBLAEJA_00123	CDS	825				hypothetical protein
CJBLAEJA_00124	CDS	372				hypothetical protein
CJBLAEJA_00125	CDS	618				hypothetical protein
CJBLAEJA_00126	CDS	1131				hypothetical protein
CJBLAEJA_00127	CDS	738				hypothetical protein
CJBLAEJA_00128	CDS	528				hypothetical protein
