locus_tag	ftype	length_bp	gene	EC_number	COG	product
COGMAEJH_00001	CDS	1515	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
COGMAEJH_00002	CDS	450				hypothetical protein
COGMAEJH_00003	CDS	264	rpsT		COG0268	30S ribosomal protein S20
COGMAEJH_00004	CDS	777	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
COGMAEJH_00005	CDS	393				hypothetical protein
COGMAEJH_00006	CDS	882	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
COGMAEJH_00007	CDS	801	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
COGMAEJH_00008	CDS	1605	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
COGMAEJH_00009	CDS	1245	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
COGMAEJH_00010	CDS	465	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
COGMAEJH_00011	CDS	450	iscR_1		COG1959	HTH-type transcriptional regulator IscR
COGMAEJH_00012	CDS	960	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
COGMAEJH_00013	CDS	492			COG1733	putative HTH-type transcriptional regulator
COGMAEJH_00014	CDS	729				hypothetical protein
COGMAEJH_00015	CDS	603	nsaD_1	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
COGMAEJH_00016	CDS	804				hypothetical protein
COGMAEJH_00017	CDS	804	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
COGMAEJH_00018	CDS	168				hypothetical protein
COGMAEJH_00019	CDS	993		1.1.1.29		Glycerate dehydrogenase
COGMAEJH_00020	CDS	633				hypothetical protein
COGMAEJH_00021	CDS	420				hypothetical protein
COGMAEJH_00022	CDS	522	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
COGMAEJH_00023	CDS	1227	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
COGMAEJH_00024	CDS	870	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
COGMAEJH_00025	CDS	582	tetC			Transposon Tn10 TetC protein
COGMAEJH_00026	CDS	414				hypothetical protein
COGMAEJH_00027	CDS	255				hypothetical protein
COGMAEJH_00028	CDS	351				hypothetical protein
COGMAEJH_00029	CDS	630				hypothetical protein
COGMAEJH_00030	CDS	2223	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
COGMAEJH_00031	CDS	270	rpsO		COG0184	30S ribosomal protein S15
COGMAEJH_00032	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
COGMAEJH_00033	CDS	426	rbfA			Ribosome-binding factor A
COGMAEJH_00034	CDS	2610	infB		COG0532	Translation initiation factor IF-2
COGMAEJH_00035	CDS	699				hypothetical protein
COGMAEJH_00036	CDS	1620	nusA		COG0195	Transcription termination/antitermination protein NusA
COGMAEJH_00037	CDS	609	rimP			Ribosome maturation factor RimP
COGMAEJH_00038	CDS	705	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
COGMAEJH_00039	CDS	1170	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
COGMAEJH_00040	CDS	411				hypothetical protein
