locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEDLIAGG_00001	CDS	309	dnaA_1			Chromosomal replication initiator protein DnaA
LEDLIAGG_00002	CDS	807				hypothetical protein
LEDLIAGG_00003	CDS	432	sufE		COG2166	Cysteine desulfuration protein SufE
LEDLIAGG_00004	CDS	378				hypothetical protein
LEDLIAGG_00005	CDS	1797	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
LEDLIAGG_00006	CDS	780				hypothetical protein
LEDLIAGG_00007	CDS	345				hypothetical protein
LEDLIAGG_00008	CDS	1008				hypothetical protein
LEDLIAGG_00009	CDS	189				hypothetical protein
LEDLIAGG_00010	CDS	540				hypothetical protein
LEDLIAGG_00011	CDS	573				hypothetical protein
LEDLIAGG_00012	CDS	2139	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
LEDLIAGG_00013	CDS	474				hypothetical protein
LEDLIAGG_00014	CDS	927				hypothetical protein
LEDLIAGG_00015	CDS	780		3.1.1.10		Tropinesterase
LEDLIAGG_00016	CDS	1074				hypothetical protein
LEDLIAGG_00017	CDS	426				hypothetical protein
LEDLIAGG_00018	CDS	249				hypothetical protein
LEDLIAGG_00019	CDS	300				hypothetical protein
LEDLIAGG_00020	CDS	666	phoP			Transcriptional regulatory protein PhoP
LEDLIAGG_00021	CDS	1398	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LEDLIAGG_00022	CDS	483				hypothetical protein
LEDLIAGG_00023	CDS	1134				hypothetical protein
LEDLIAGG_00024	CDS	486	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
LEDLIAGG_00025	CDS	1992	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
LEDLIAGG_00026	CDS	474	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
LEDLIAGG_00027	CDS	1605	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
LEDLIAGG_00028	CDS	681	cusR		COG0745	Transcriptional regulatory protein CusR
LEDLIAGG_00029	CDS	1416	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
LEDLIAGG_00030	CDS	2952	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
LEDLIAGG_00031	CDS	360				hypothetical protein
LEDLIAGG_00032	CDS	2340	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
LEDLIAGG_00033	CDS	2646	pepN	3.4.11.2	COG0308	Aminopeptidase N
LEDLIAGG_00034	CDS	2310	kdhC	1.5.99.14		6-hydroxypseudooxynicotine dehydrogenase complex subunit gamma
