locus_tag	ftype	length_bp	gene	EC_number	COG	product
GHOGCMKG_00001	CDS	294	dnaA_1			Chromosomal replication initiator protein DnaA
GHOGCMKG_00002	CDS	396				hypothetical protein
GHOGCMKG_00003	CDS	888				hypothetical protein
GHOGCMKG_00004	CDS	2001				hypothetical protein
GHOGCMKG_00005	CDS	237				hypothetical protein
GHOGCMKG_00006	CDS	510				hypothetical protein
GHOGCMKG_00007	CDS	135				hypothetical protein
GHOGCMKG_00008	CDS	987		2.4.-.-		putative glycosyltransferase
GHOGCMKG_00009	CDS	1368				hypothetical protein
GHOGCMKG_00010	CDS	792	phhA	1.14.16.1	COG3186	Phenylalanine-4-hydroxylase
GHOGCMKG_00011	CDS	339				hypothetical protein
GHOGCMKG_00012	CDS	597	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
GHOGCMKG_00013	CDS	717	hisA_1	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
GHOGCMKG_00014	CDS	756	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GHOGCMKG_00015	CDS	654	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
GHOGCMKG_00016	CDS	2898				hypothetical protein
GHOGCMKG_00017	CDS	258				hypothetical protein
GHOGCMKG_00018	CDS	774				hypothetical protein
GHOGCMKG_00019	CDS	1071				hypothetical protein
GHOGCMKG_00020	CDS	765				hypothetical protein
GHOGCMKG_00021	CDS	612				hypothetical protein
GHOGCMKG_00022	CDS	426				hypothetical protein
GHOGCMKG_00023	CDS	1074	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
GHOGCMKG_00024	CDS	843	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
GHOGCMKG_00025	CDS	957	hutG_1	3.5.3.8	COG0010	Formimidoylglutamase
GHOGCMKG_00026	CDS	624				hypothetical protein
GHOGCMKG_00027	CDS	234				hypothetical protein
GHOGCMKG_00028	CDS	2001	hutU	4.2.1.49		Urocanate hydratase
GHOGCMKG_00029	CDS	1281	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
GHOGCMKG_00030	CDS	1566	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
GHOGCMKG_00031	CDS	867	hcaR			Hca operon transcriptional activator HcaR
GHOGCMKG_00032	CDS	804				hypothetical protein
GHOGCMKG_00033	CDS	1116				hypothetical protein
GHOGCMKG_00034	CDS	1629	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
GHOGCMKG_00035	CDS	789	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
GHOGCMKG_00036	CDS	486				hypothetical protein
GHOGCMKG_00037	CDS	423	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
GHOGCMKG_00038	CDS	609	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
GHOGCMKG_00039	CDS	411				hypothetical protein
GHOGCMKG_00040	CDS	771				hypothetical protein
GHOGCMKG_00041	CDS	1101			COG0327	GTP cyclohydrolase 1 type 2 
GHOGCMKG_00042	CDS	1047	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
GHOGCMKG_00043	CDS	1971				hypothetical protein
GHOGCMKG_00044	CDS	612				hypothetical protein
GHOGCMKG_00045	CDS	1245	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
GHOGCMKG_00046	CDS	1692	mpdB_1	1.1.1.400		2-methyl-1,2-propanediol dehydrogenase
GHOGCMKG_00047	CDS	1293				hypothetical protein
GHOGCMKG_00048	CDS	1074	hsaA	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
GHOGCMKG_00049	CDS	561				hypothetical protein
GHOGCMKG_00050	CDS	2217	katG	1.11.1.21	COG0376	Catalase-peroxidase
GHOGCMKG_00051	CDS	531	rfaH			Transcription antitermination protein RfaH
GHOGCMKG_00052	CDS	189				hypothetical protein
GHOGCMKG_00053	CDS	1308	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
GHOGCMKG_00054	CDS	861	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
GHOGCMKG_00055	CDS	2343	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
GHOGCMKG_00056	CDS	720	lytR_1		COG3279	Sensory transduction protein LytR
GHOGCMKG_00057	CDS	741				hypothetical protein
GHOGCMKG_00058	CDS	219				hypothetical protein
GHOGCMKG_00059	CDS	765				hypothetical protein
GHOGCMKG_00060	CDS	2454	ligA	6.5.1.2		DNA ligase
GHOGCMKG_00061	CDS	216				hypothetical protein
GHOGCMKG_00062	CDS	687				hypothetical protein
GHOGCMKG_00063	CDS	633				hypothetical protein
GHOGCMKG_00064	CDS	2061	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
GHOGCMKG_00065	CDS	606				hypothetical protein
