locus_tag	ftype	length_bp	gene	EC_number	COG	product
OAFLDBJD_00001	CDS	702	hda		COG0593	DnaA regulatory inactivator Hda
OAFLDBJD_00002	CDS	261				hypothetical protein
OAFLDBJD_00003	CDS	522	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OAFLDBJD_00004	CDS	1158	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
OAFLDBJD_00005	CDS	1065	resA_1			Thiol-disulfide oxidoreductase ResA
OAFLDBJD_00006	CDS	531				hypothetical protein
OAFLDBJD_00007	CDS	525				hypothetical protein
OAFLDBJD_00008	CDS	1185				hypothetical protein
OAFLDBJD_00009	CDS	507				hypothetical protein
OAFLDBJD_00010	CDS	3693				hypothetical protein
OAFLDBJD_00011	CDS	399				hypothetical protein
OAFLDBJD_00012	CDS	363				hypothetical protein
OAFLDBJD_00013	CDS	1725	epsE_1		COG2804	Type II secretion system protein E
OAFLDBJD_00014	CDS	1266	epsF_1		COG1459	Type II secretion system protein F
OAFLDBJD_00015	CDS	885	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
OAFLDBJD_00016	CDS	507	rayT_1		COG1943	REP-associated tyrosine transposase
OAFLDBJD_00017	CDS	2784	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
OAFLDBJD_00018	CDS	972	lip1	3.1.1.3		Lipase 1
OAFLDBJD_00019	CDS	1914				hypothetical protein
OAFLDBJD_00020	CDS	810	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
OAFLDBJD_00021	CDS	1227			COG1055	putative transporter
OAFLDBJD_00022	CDS	471	elaA		COG2153	Protein ElaA
OAFLDBJD_00023	CDS	456				hypothetical protein
OAFLDBJD_00024	CDS	891				hypothetical protein
OAFLDBJD_00025	CDS	333				hypothetical protein
OAFLDBJD_00026	CDS	273				hypothetical protein
OAFLDBJD_00027	CDS	2016				hypothetical protein
OAFLDBJD_00028	CDS	2784	btuB_1			Vitamin B12 transporter BtuB
OAFLDBJD_00029	CDS	1413				hypothetical protein
OAFLDBJD_00030	CDS	1164	iadA_1	3.4.19.-		Isoaspartyl dipeptidase
OAFLDBJD_00031	CDS	1953	tolB_1			Tol-Pal system protein TolB
OAFLDBJD_00032	CDS	345				hypothetical protein
OAFLDBJD_00033	CDS	705				hypothetical protein
OAFLDBJD_00034	CDS	1605	crtI_1	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
OAFLDBJD_00035	CDS	552				hypothetical protein
OAFLDBJD_00036	CDS	1395				hypothetical protein
OAFLDBJD_00037	CDS	894	polA_1	2.7.7.7	COG0258	DNA polymerase I
OAFLDBJD_00038	CDS	564	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
OAFLDBJD_00039	CDS	2343				hypothetical protein
OAFLDBJD_00040	CDS	1137	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
OAFLDBJD_00041	CDS	291	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
OAFLDBJD_00042	CDS	1455	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
OAFLDBJD_00043	CDS	648				hypothetical protein
OAFLDBJD_00044	CDS	558	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
OAFLDBJD_00045	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
OAFLDBJD_00046	CDS	1062	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
OAFLDBJD_00047	CDS	447	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
OAFLDBJD_00048	CDS	1113	ybeZ		COG1702	PhoH-like protein
OAFLDBJD_00049	CDS	1359	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
OAFLDBJD_00050	CDS	396				hypothetical protein
OAFLDBJD_00051	CDS	735	arsH	1.-.-.-		NADPH-dependent FMN reductase ArsH
OAFLDBJD_00052	CDS	504	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
OAFLDBJD_00053	CDS	1038	recA			Protein RecA
OAFLDBJD_00054	CDS	510	recX		COG2137	Regulatory protein RecX
OAFLDBJD_00055	CDS	1110				hypothetical protein
OAFLDBJD_00056	CDS	1011	hicd	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
OAFLDBJD_00057	CDS	2322				hypothetical protein
OAFLDBJD_00058	CDS	267				hypothetical protein
OAFLDBJD_00059	CDS	834	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
OAFLDBJD_00060	CDS	135				hypothetical protein
OAFLDBJD_00061	CDS	1122				hypothetical protein
OAFLDBJD_00062	CDS	675	rnt	3.1.13.-	COG0847	Ribonuclease T
OAFLDBJD_00063	CDS	681				hypothetical protein
OAFLDBJD_00064	CDS	702	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
OAFLDBJD_00065	tRNA	91				tRNA-Ser(cga)
OAFLDBJD_00066	CDS	138				hypothetical protein
OAFLDBJD_00067	CDS	564				hypothetical protein
OAFLDBJD_00068	CDS	627	resA_2			Thiol-disulfide oxidoreductase ResA
OAFLDBJD_00069	CDS	2142	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
OAFLDBJD_00070	CDS	594	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
OAFLDBJD_00071	CDS	810	btuF			Vitamin B12-binding protein
OAFLDBJD_00072	CDS	1293				hypothetical protein
OAFLDBJD_00073	CDS	1437				hypothetical protein
OAFLDBJD_00074	CDS	1101				hypothetical protein
OAFLDBJD_00075	CDS	3540	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OAFLDBJD_00076	CDS	1122	proB	2.7.2.11	COG0263	Glutamate 5-kinase
OAFLDBJD_00077	CDS	1281	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
OAFLDBJD_00078	CDS	2097				hypothetical protein
OAFLDBJD_00079	CDS	2265				hypothetical protein
