locus_tag	ftype	length_bp	gene	EC_number	COG	product
LENODDMK_00001	CDS	1494	dnaA_1			Chromosomal replication initiator protein DnaA
LENODDMK_00002	CDS	267	rpsT		COG0268	30S ribosomal protein S20
LENODDMK_00003	CDS	777	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
LENODDMK_00004	CDS	660				hypothetical protein
LENODDMK_00005	CDS	876	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
LENODDMK_00006	CDS	675				hypothetical protein
LENODDMK_00007	CDS	750	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
LENODDMK_00008	CDS	243				hypothetical protein
LENODDMK_00009	CDS	507				hypothetical protein
LENODDMK_00010	CDS	363	bcrA			Bacitracin transport ATP-binding protein BcrA
LENODDMK_00011	CDS	540	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LENODDMK_00012	CDS	744				hypothetical protein
LENODDMK_00013	CDS	1548	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
LENODDMK_00014	CDS	228				hypothetical protein
LENODDMK_00015	CDS	396				hypothetical protein
LENODDMK_00016	CDS	540	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LENODDMK_00017	CDS	669	coaBC_2		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LENODDMK_00018	CDS	456				hypothetical protein
LENODDMK_00019	CDS	450	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
LENODDMK_00020	CDS	1311	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
LENODDMK_00021	CDS	441				hypothetical protein
LENODDMK_00022	CDS	747	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
LENODDMK_00023	CDS	2691	metH_1	2.1.1.13	COG0646	Methionine synthase
LENODDMK_00024	CDS	1071	metH_2	2.1.1.13	COG0646	Methionine synthase
LENODDMK_00025	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
LENODDMK_00026	CDS	723	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
LENODDMK_00027	CDS	621				hypothetical protein
LENODDMK_00028	CDS	831				hypothetical protein
LENODDMK_00029	CDS	783			COG2968	26 kDa periplasmic immunogenic protein
LENODDMK_00030	tRNA	77				tRNA-Met(cat)
LENODDMK_00031	CDS	531				hypothetical protein
LENODDMK_00032	CDS	981	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
LENODDMK_00033	CDS	1887	cysNC		COG0529	Bifunctional enzyme CysN/CysC
LENODDMK_00034	CDS	441	cysQ_1	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
LENODDMK_00035	CDS	312	cysQ_2	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
LENODDMK_00036	CDS	951	ghrB	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
LENODDMK_00037	CDS	723	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LENODDMK_00038	CDS	1089	aroB_1	4.2.3.4	COG0337	3-dehydroquinate synthase
LENODDMK_00039	CDS	696	neuA	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
LENODDMK_00040	CDS	4746				hypothetical protein
LENODDMK_00041	CDS	753				hypothetical protein
LENODDMK_00042	CDS	672	pgl_1	3.1.1.31		6-phosphogluconolactonase
LENODDMK_00043	CDS	1260	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LENODDMK_00044	CDS	861				hypothetical protein
LENODDMK_00045	CDS	804				hypothetical protein
LENODDMK_00046	CDS	582	gmhA	5.3.1.28		Phosphoheptose isomerase
LENODDMK_00047	CDS	801		4.1.2.58		2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase
LENODDMK_00048	CDS	1077	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
LENODDMK_00049	CDS	2100				hypothetical protein
LENODDMK_00050	CDS	978	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
LENODDMK_00051	CDS	1128	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
LENODDMK_00052	CDS	747				hypothetical protein
LENODDMK_00053	CDS	981	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
LENODDMK_00054	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
LENODDMK_00055	CDS	879	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
LENODDMK_00056	CDS	1821	nodM	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LENODDMK_00057	CDS	2172	lptD			LPS-assembly protein LptD
