locus_tag	ftype	length_bp	gene	EC_number	COG	product
NAHEBPPK_00001	CDS	348	dnaA_1			Chromosomal replication initiator protein DnaA
NAHEBPPK_00002	CDS	258				hypothetical protein
NAHEBPPK_00003	CDS	432	sufE		COG2166	Cysteine desulfuration protein SufE
NAHEBPPK_00004	CDS	1005				hypothetical protein
NAHEBPPK_00005	CDS	1575	divJ	2.7.13.3		Histidine protein kinase DivJ
NAHEBPPK_00006	CDS	300				hypothetical protein
NAHEBPPK_00007	CDS	339				hypothetical protein
NAHEBPPK_00008	CDS	432				hypothetical protein
NAHEBPPK_00009	CDS	372				hypothetical protein
NAHEBPPK_00010	CDS	1599	prfC		COG4108	Peptide chain release factor 3
NAHEBPPK_00011	CDS	471				hypothetical protein
NAHEBPPK_00012	CDS	1818	uup		COG0488	ABC transporter ATP-binding protein uup
NAHEBPPK_00013	CDS	432				hypothetical protein
NAHEBPPK_00014	CDS	1038				hypothetical protein
NAHEBPPK_00015	CDS	1485				hypothetical protein
NAHEBPPK_00016	CDS	864				hypothetical protein
NAHEBPPK_00017	CDS	675	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
NAHEBPPK_00018	CDS	1044	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NAHEBPPK_00019	CDS	1251	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
NAHEBPPK_00020	CDS	969				hypothetical protein
NAHEBPPK_00021	CDS	2826	ppc	4.1.1.31		Phosphoenolpyruvate carboxylase
NAHEBPPK_00022	CDS	1167	dnaJ		COG0484	Chaperone protein DnaJ
NAHEBPPK_00023	CDS	1284				hypothetical protein
NAHEBPPK_00024	CDS	876	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
NAHEBPPK_00025	CDS	366				hypothetical protein
NAHEBPPK_00026	CDS	429				hypothetical protein
NAHEBPPK_00027	CDS	2025	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
NAHEBPPK_00028	CDS	672				hypothetical protein
NAHEBPPK_00029	CDS	372				hypothetical protein
NAHEBPPK_00030	CDS	525	sigE		COG1595	ECF RNA polymerase sigma factor SigE
NAHEBPPK_00031	CDS	375				hypothetical protein
NAHEBPPK_00032	CDS	720				hypothetical protein
NAHEBPPK_00033	CDS	318				hypothetical protein
NAHEBPPK_00034	CDS	276				hypothetical protein
NAHEBPPK_00035	CDS	387	yecN		COG3788	Inner membrane protein YecN
NAHEBPPK_00036	CDS	1347	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
NAHEBPPK_00037	CDS	1119	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
NAHEBPPK_00038	CDS	1824	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NAHEBPPK_00039	CDS	384		3.1.-.-	COG3742	Ribonuclease VapC36
NAHEBPPK_00040	CDS	258				hypothetical protein
NAHEBPPK_00041	CDS	789	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
NAHEBPPK_00042	CDS	675				hypothetical protein
NAHEBPPK_00043	CDS	1146	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
NAHEBPPK_00044	CDS	822	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
NAHEBPPK_00045	CDS	1380	egtA	6.3.2.2		Glutamate--cysteine ligase EgtA
NAHEBPPK_00046	CDS	1866	dtpA			Dipeptide and tripeptide permease A
NAHEBPPK_00047	CDS	432				hypothetical protein
NAHEBPPK_00048	CDS	1404	tldD	3.4.-.-	COG0312	Metalloprotease TldD
NAHEBPPK_00049	CDS	552				hypothetical protein
NAHEBPPK_00050	CDS	999	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
NAHEBPPK_00051	CDS	1701	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
NAHEBPPK_00052	CDS	954	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
NAHEBPPK_00053	CDS	177				hypothetical protein
NAHEBPPK_00054	CDS	594	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
NAHEBPPK_00055	CDS	879	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
NAHEBPPK_00056	CDS	684				hypothetical protein
NAHEBPPK_00057	CDS	1380	thrC	4.2.3.1	COG0498	Threonine synthase
NAHEBPPK_00058	CDS	570	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
NAHEBPPK_00059	CDS	1029				hypothetical protein
NAHEBPPK_00060	CDS	522				hypothetical protein
NAHEBPPK_00061	CDS	567				hypothetical protein
NAHEBPPK_00062	CDS	483		1.11.1.15		Peroxiredoxin
NAHEBPPK_00063	CDS	960	qmcA		COG0330	Protein QmcA
NAHEBPPK_00064	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
NAHEBPPK_00065	CDS	624	pth	3.1.1.29		Peptidyl-tRNA hydrolase
NAHEBPPK_00066	CDS	687	rplY		COG1825	50S ribosomal protein L25
NAHEBPPK_00067	CDS	810				hypothetical protein
NAHEBPPK_00068	CDS	1038				hypothetical protein
NAHEBPPK_00069	CDS	993				hypothetical protein
NAHEBPPK_00070	CDS	267				hypothetical protein
NAHEBPPK_00071	CDS	1779	actP		COG4147	Cation/acetate symporter ActP
NAHEBPPK_00072	CDS	1947	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
NAHEBPPK_00073	CDS	1602	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
NAHEBPPK_00074	CDS	465	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
NAHEBPPK_00075	CDS	477				hypothetical protein
NAHEBPPK_00076	CDS	600				hypothetical protein
NAHEBPPK_00077	CDS	774	baeR		COG0745	Transcriptional regulatory protein BaeR
NAHEBPPK_00078	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
NAHEBPPK_00079	CDS	474				hypothetical protein
NAHEBPPK_00080	CDS	1026	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
NAHEBPPK_00081	CDS	369				hypothetical protein
NAHEBPPK_00082	CDS	780				hypothetical protein
NAHEBPPK_00083	CDS	1167	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
NAHEBPPK_00084	CDS	840	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
NAHEBPPK_00085	CDS	1005	cysK_1	2.5.1.47		Cysteine synthase
NAHEBPPK_00086	CDS	675				hypothetical protein
NAHEBPPK_00087	CDS	1560	phrB	4.1.99.13	COG3046	(6-4) photolyase
NAHEBPPK_00088	CDS	2412				hypothetical protein
NAHEBPPK_00089	CDS	2409				hypothetical protein
NAHEBPPK_00090	CDS	2832				hypothetical protein
NAHEBPPK_00091	tRNA	77				tRNA-Asp(gtc)
NAHEBPPK_00092	CDS	585				hypothetical protein
NAHEBPPK_00093	CDS	1530				hypothetical protein
NAHEBPPK_00094	CDS	486				hypothetical protein
NAHEBPPK_00095	CDS	282				IS21 family transposase ISCsp3
NAHEBPPK_00096	CDS	462				hypothetical protein
NAHEBPPK_00097	CDS	2391	silP_1	7.2.2.15		Silver exporting P-type ATPase
NAHEBPPK_00098	CDS	480				hypothetical protein
NAHEBPPK_00099	CDS	831				hypothetical protein
NAHEBPPK_00100	CDS	354				hypothetical protein
NAHEBPPK_00101	CDS	798	copB_1			Copper resistance protein B
NAHEBPPK_00102	CDS	1854	copA_1			Copper resistance protein A
NAHEBPPK_00103	CDS	648				hypothetical protein
NAHEBPPK_00104	CDS	276	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
NAHEBPPK_00105	CDS	648				hypothetical protein
NAHEBPPK_00106	CDS	726				hypothetical protein
NAHEBPPK_00107	CDS	366				hypothetical protein
NAHEBPPK_00108	CDS	3174	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
NAHEBPPK_00109	CDS	1266				hypothetical protein
NAHEBPPK_00110	CDS	1284	czcC_1			Cobalt-zinc-cadmium resistance protein CzcC
NAHEBPPK_00111	CDS	141				hypothetical protein
NAHEBPPK_00112	CDS	1161				hypothetical protein
NAHEBPPK_00113	CDS	1551	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
NAHEBPPK_00114	CDS	528				hypothetical protein
NAHEBPPK_00115	CDS	2850	btuB_1			Vitamin B12 transporter BtuB
NAHEBPPK_00116	CDS	852				hypothetical protein
NAHEBPPK_00117	CDS	1401				hypothetical protein
NAHEBPPK_00118	CDS	1092	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
