locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGDCJILJ_00001	CDS	1356	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MGDCJILJ_00002	CDS	1119	dnaN			Beta sliding clamp
MGDCJILJ_00003	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
MGDCJILJ_00004	CDS	621				hypothetical protein
MGDCJILJ_00005	CDS	2451	gyrB_1	5.6.2.2		DNA gyrase subunit B
MGDCJILJ_00006	CDS	573				hypothetical protein
MGDCJILJ_00007	tRNA	76				tRNA-Arg(cct)
MGDCJILJ_00008	CDS	945	gntR_1			HTH-type transcriptional regulator GntR
MGDCJILJ_00009	CDS	408				hypothetical protein
MGDCJILJ_00010	CDS	426				hypothetical protein
MGDCJILJ_00011	CDS	285				hypothetical protein
MGDCJILJ_00012	CDS	882	qmcA		COG0330	Protein QmcA
MGDCJILJ_00013	CDS	246				hypothetical protein
MGDCJILJ_00014	CDS	1194				hypothetical protein
MGDCJILJ_00015	CDS	990	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
MGDCJILJ_00016	CDS	1137	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
MGDCJILJ_00017	CDS	624	bdbD		COG1651	Disulfide bond formation protein D
MGDCJILJ_00018	CDS	480				hypothetical protein
MGDCJILJ_00019	CDS	1041	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
MGDCJILJ_00020	CDS	1116	alkB2	1.14.15.3		Alkane 1-monooxygenase 2
MGDCJILJ_00021	CDS	1545	ilvX	2.2.1.6	COG0028	Putative acetolactate synthase large subunit IlvX
MGDCJILJ_00022	CDS	657				hypothetical protein
MGDCJILJ_00023	CDS	1020		2.4.-.-		putative glycosyltransferase
MGDCJILJ_00024	CDS	729				hypothetical protein
MGDCJILJ_00025	CDS	378				hypothetical protein
MGDCJILJ_00026	CDS	1122				hypothetical protein
MGDCJILJ_00027	CDS	633	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MGDCJILJ_00028	CDS	471				hypothetical protein
MGDCJILJ_00029	CDS	285				hypothetical protein
MGDCJILJ_00030	CDS	705				hypothetical protein
MGDCJILJ_00031	CDS	177				hypothetical protein
MGDCJILJ_00032	CDS	657	lon2	3.4.21.53	COG0466	Lon protease 2
MGDCJILJ_00033	CDS	903	cnoX		COG3118	Chaperedoxin
MGDCJILJ_00034	CDS	591	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MGDCJILJ_00035	CDS	864				hypothetical protein
MGDCJILJ_00036	CDS	1176	phaA	2.3.1.9		Acetyl-CoA acetyltransferase
MGDCJILJ_00037	CDS	390				hypothetical protein
MGDCJILJ_00038	CDS	726	phaB	1.1.1.36		Acetoacetyl-CoA reductase
MGDCJILJ_00039	CDS	1158				hypothetical protein
MGDCJILJ_00040	CDS	894	yddG			Methyl viologen resistance protein YddG
MGDCJILJ_00041	CDS	165				hypothetical protein
MGDCJILJ_00042	CDS	759	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MGDCJILJ_00043	CDS	216				hypothetical protein
MGDCJILJ_00044	CDS	1008	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
MGDCJILJ_00045	CDS	822				hypothetical protein
MGDCJILJ_00046	CDS	180				hypothetical protein
MGDCJILJ_00047	CDS	966				hypothetical protein
MGDCJILJ_00048	CDS	2307				hypothetical protein
MGDCJILJ_00049	CDS	2073				hypothetical protein
MGDCJILJ_00050	CDS	960				hypothetical protein
MGDCJILJ_00051	CDS	369				hypothetical protein
MGDCJILJ_00052	CDS	894				hypothetical protein
MGDCJILJ_00053	CDS	996	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
MGDCJILJ_00054	CDS	1023	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MGDCJILJ_00055	CDS	837	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
MGDCJILJ_00056	CDS	921	lacF			Lactose transport system permease protein LacF
MGDCJILJ_00057	CDS	1248				hypothetical protein
MGDCJILJ_00058	CDS	885	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MGDCJILJ_00059	CDS	393	gspK_1	2.7.1.8	COG2971	Glucosamine kinase GspK
MGDCJILJ_00060	CDS	447	gspK_2	2.7.1.8	COG2971	Glucosamine kinase GspK
MGDCJILJ_00061	CDS	768	nagR		COG2188	HTH-type transcriptional repressor NagR
MGDCJILJ_00062	CDS	1026	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
MGDCJILJ_00063	CDS	1116	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
MGDCJILJ_00064	CDS	846	motB		COG1360	Motility protein B
MGDCJILJ_00065	CDS	1308	flgE		COG1749	Flagellar hook protein FlgE
MGDCJILJ_00066	CDS	1464				hypothetical protein
MGDCJILJ_00067	CDS	1002				hypothetical protein
MGDCJILJ_00068	CDS	1092	flgI			Flagellar P-ring protein
MGDCJILJ_00069	CDS	2550				hypothetical protein
MGDCJILJ_00070	CDS	615	rnd_1	3.1.13.5		Ribonuclease D
MGDCJILJ_00071	CDS	957	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
MGDCJILJ_00072	CDS	603				hypothetical protein
MGDCJILJ_00073	CDS	489	lptA			Lipopolysaccharide export system protein LptA
MGDCJILJ_00074	CDS	762	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MGDCJILJ_00075	CDS	576	yvyD		COG1544	Ribosome hibernation promotion factor
MGDCJILJ_00076	CDS	489	ptsN		COG1762	Nitrogen regulatory protein
MGDCJILJ_00077	CDS	342				hypothetical protein
MGDCJILJ_00078	CDS	1401				hypothetical protein
MGDCJILJ_00079	CDS	1692				hypothetical protein
MGDCJILJ_00080	CDS	1011				hypothetical protein
MGDCJILJ_00081	CDS	1038				hypothetical protein
MGDCJILJ_00082	CDS	897	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MGDCJILJ_00083	CDS	801	kdsB_1	2.7.7.38		3-deoxy-manno-octulosonate cytidylyltransferase
