locus_tag	ftype	length_bp	gene	EC_number	COG	product
NODJMJEH_00001	CDS	711	hda		COG0593	DnaA regulatory inactivator Hda
NODJMJEH_00002	CDS	1131				Sodium-lithium/proton antiporter
NODJMJEH_00003	CDS	564	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NODJMJEH_00004	CDS	1101				hypothetical protein
NODJMJEH_00005	CDS	1047	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
NODJMJEH_00006	CDS	726	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
NODJMJEH_00007	CDS	513				hypothetical protein
NODJMJEH_00008	CDS	1107	alr1	5.1.1.1	COG0787	Alanine racemase
NODJMJEH_00009	CDS	1386	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
NODJMJEH_00010	CDS	780				hypothetical protein
NODJMJEH_00011	CDS	1353	murD2	6.3.2.53		UDP-N-acetylmuramoyl-L-alanine--L-glutamate ligase
NODJMJEH_00012	CDS	1350	murL	5.1.1.23		UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase
NODJMJEH_00013	CDS	2637	lysA	4.1.1.20		Diaminopimelate decarboxylase
NODJMJEH_00014	CDS	501				hypothetical protein
NODJMJEH_00015	CDS	900				hypothetical protein
NODJMJEH_00016	CDS	1494				hypothetical protein
NODJMJEH_00017	CDS	765	NADK	2.7.1.23	COG0061	NAD kinase
NODJMJEH_00018	CDS	2205				hypothetical protein
NODJMJEH_00019	CDS	4953	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
NODJMJEH_00020	CDS	1689				hypothetical protein
NODJMJEH_00021	CDS	831				hypothetical protein
NODJMJEH_00022	CDS	1164	bcd	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
NODJMJEH_00023	CDS	669				hypothetical protein
NODJMJEH_00024	CDS	867				hypothetical protein
NODJMJEH_00025	CDS	924	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
NODJMJEH_00026	CDS	3741	metH	2.1.1.13	COG0646	Methionine synthase
NODJMJEH_00027	CDS	1050	tqsA		COG0628	AI-2 transport protein TqsA
NODJMJEH_00028	CDS	2121				hypothetical protein
NODJMJEH_00029	CDS	285				hypothetical protein
NODJMJEH_00030	CDS	768		1.-.-.-		putative oxidoreductase
NODJMJEH_00031	CDS	564	yeiP		COG0231	Elongation factor P-like protein
NODJMJEH_00032	CDS	558				hypothetical protein
NODJMJEH_00033	CDS	1131	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
NODJMJEH_00034	CDS	1089	yrbG_1		COG0530	Inner membrane protein YrbG
NODJMJEH_00035	CDS	1386				hypothetical protein
NODJMJEH_00036	CDS	948				hypothetical protein
NODJMJEH_00037	CDS	1224				hypothetical protein
NODJMJEH_00038	CDS	330				hypothetical protein
NODJMJEH_00039	CDS	396				hypothetical protein
NODJMJEH_00040	CDS	504				hypothetical protein
NODJMJEH_00041	CDS	516				hypothetical protein
NODJMJEH_00042	CDS	516				hypothetical protein
NODJMJEH_00043	CDS	525				hypothetical protein
NODJMJEH_00044	CDS	2595				hypothetical protein
NODJMJEH_00045	CDS	786				hypothetical protein
NODJMJEH_00046	CDS	450				hypothetical protein
NODJMJEH_00047	CDS	591				hypothetical protein
NODJMJEH_00048	CDS	363				hypothetical protein
NODJMJEH_00049	CDS	720				hypothetical protein
NODJMJEH_00050	CDS	1386	hutI_1	3.5.2.7		Imidazolonepropionase
NODJMJEH_00051	CDS	480				hypothetical protein
NODJMJEH_00052	CDS	522	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
NODJMJEH_00053	CDS	522				hypothetical protein
NODJMJEH_00054	CDS	402				hypothetical protein
NODJMJEH_00055	CDS	588				hypothetical protein
NODJMJEH_00056	CDS	327				hypothetical protein
NODJMJEH_00057	CDS	486	ysnE	2.3.1.-		putative N-acetyltransferase YsnE
NODJMJEH_00058	CDS	543				hypothetical protein
NODJMJEH_00059	CDS	291				hypothetical protein
NODJMJEH_00060	CDS	852				hypothetical protein
NODJMJEH_00061	CDS	1041				hypothetical protein
NODJMJEH_00062	CDS	399				hypothetical protein
NODJMJEH_00063	CDS	135				hypothetical protein
NODJMJEH_00064	CDS	711				hypothetical protein
NODJMJEH_00065	CDS	312				hypothetical protein
NODJMJEH_00066	CDS	681				hypothetical protein
NODJMJEH_00067	CDS	366				hypothetical protein
NODJMJEH_00068	CDS	510				hypothetical protein
NODJMJEH_00069	CDS	417				hypothetical protein
NODJMJEH_00070	CDS	399				hypothetical protein
NODJMJEH_00071	CDS	654				hypothetical protein
NODJMJEH_00072	CDS	510				hypothetical protein
NODJMJEH_00073	CDS	699				hypothetical protein
NODJMJEH_00074	CDS	420				hypothetical protein
NODJMJEH_00075	CDS	267				IS3 family transposase ISXca1
NODJMJEH_00076	CDS	339				hypothetical protein
NODJMJEH_00077	CDS	507				IS3 family transposase ISXca1
NODJMJEH_00078	CDS	477				hypothetical protein
NODJMJEH_00079	CDS	1263				hypothetical protein
NODJMJEH_00080	CDS	333				hypothetical protein
NODJMJEH_00081	CDS	1047	xerC_1			Tyrosine recombinase XerC
NODJMJEH_00082	CDS	276				hypothetical protein
NODJMJEH_00083	CDS	255				hypothetical protein
NODJMJEH_00084	CDS	621	xerC_2		COG4973	Tyrosine recombinase XerC
NODJMJEH_00085	CDS	549				hypothetical protein
NODJMJEH_00086	CDS	1443	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
NODJMJEH_00087	CDS	1353				hypothetical protein
NODJMJEH_00088	CDS	801				hypothetical protein
NODJMJEH_00089	CDS	2394	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
NODJMJEH_00090	CDS	585				hypothetical protein
NODJMJEH_00091	CDS	792	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
NODJMJEH_00092	CDS	1590	alsT		COG1115	Amino-acid carrier protein AlsT
NODJMJEH_00093	CDS	1479				hypothetical protein
NODJMJEH_00094	CDS	477		1.11.1.15		Peroxiredoxin
NODJMJEH_00095	CDS	2631	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
NODJMJEH_00096	CDS	1386				hypothetical protein
NODJMJEH_00097	CDS	405				hypothetical protein
NODJMJEH_00098	CDS	936				hypothetical protein
NODJMJEH_00099	CDS	1056	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
NODJMJEH_00100	CDS	1182				hypothetical protein
NODJMJEH_00101	CDS	564				hypothetical protein
NODJMJEH_00102	tRNA	75				tRNA-Val(cac)
NODJMJEH_00103	CDS	1437				hypothetical protein
NODJMJEH_00104	CDS	1530	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
NODJMJEH_00105	CDS	1014	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
NODJMJEH_00106	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
NODJMJEH_00107	CDS	1782				hypothetical protein
NODJMJEH_00108	CDS	1392				hypothetical protein
NODJMJEH_00109	CDS	2511				hypothetical protein
NODJMJEH_00110	CDS	1422				hypothetical protein
NODJMJEH_00111	tRNA	88				tRNA-Phe(gaa)
NODJMJEH_00112	CDS	1116				hypothetical protein
NODJMJEH_00113	CDS	2319	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
NODJMJEH_00114	CDS	2394				hypothetical protein
NODJMJEH_00115	CDS	540		2.3.1.-	COG1670	Acetyltransferase
