locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAAGMPBJ_00001	CDS	1422	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FAAGMPBJ_00002	CDS	771	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
FAAGMPBJ_00003	CDS	408	yecN		COG3788	Inner membrane protein YecN
FAAGMPBJ_00004	CDS	339				hypothetical protein
FAAGMPBJ_00005	CDS	1104	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
FAAGMPBJ_00006	CDS	492				hypothetical protein
FAAGMPBJ_00007	CDS	225				hypothetical protein
FAAGMPBJ_00008	CDS	615				hypothetical protein
FAAGMPBJ_00009	CDS	648				hypothetical protein
FAAGMPBJ_00010	CDS	4122	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
FAAGMPBJ_00011	CDS	4212	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
FAAGMPBJ_00012	CDS	579				hypothetical protein
FAAGMPBJ_00013	CDS	600		1.6.5.2		NAD(P)H dehydrogenase (quinone)
FAAGMPBJ_00014	CDS	711	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
FAAGMPBJ_00015	CDS	897	dmlR			HTH-type transcriptional regulator DmlR
FAAGMPBJ_00016	CDS	702	ctrA			Cell cycle response regulator CtrA
FAAGMPBJ_00017	CDS	1281	yhjE_1			Inner membrane metabolite transport protein YhjE
FAAGMPBJ_00018	CDS	267				hypothetical protein
FAAGMPBJ_00019	CDS	561	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
FAAGMPBJ_00020	CDS	813	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
FAAGMPBJ_00021	CDS	426				hypothetical protein
FAAGMPBJ_00022	CDS	342				hypothetical protein
FAAGMPBJ_00023	CDS	1311	lgoT			putative L-galactonate transporter
FAAGMPBJ_00024	CDS	816	mhpD_1	4.2.1.80		2-keto-4-pentenoate hydratase
FAAGMPBJ_00025	CDS	1524	uxaA	4.2.1.7	COG2721	Altronate dehydratase
FAAGMPBJ_00026	CDS	1011	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
FAAGMPBJ_00027	CDS	639				hypothetical protein
FAAGMPBJ_00028	CDS	759	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
FAAGMPBJ_00029	CDS	1017	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
FAAGMPBJ_00030	CDS	1536	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
FAAGMPBJ_00031	CDS	420				hypothetical protein
FAAGMPBJ_00032	CDS	1347				hypothetical protein
FAAGMPBJ_00033	CDS	2889				hypothetical protein
FAAGMPBJ_00034	CDS	1002				hypothetical protein
FAAGMPBJ_00035	CDS	1620		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43B
FAAGMPBJ_00036	CDS	1311	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
FAAGMPBJ_00037	CDS	357				hypothetical protein
FAAGMPBJ_00038	CDS	675	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
FAAGMPBJ_00039	CDS	654	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
FAAGMPBJ_00040	CDS	1245	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
FAAGMPBJ_00041	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
FAAGMPBJ_00042	CDS	858	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
FAAGMPBJ_00043	CDS	1329	fpgS	6.3.2.17		Folylpolyglutamate synthase
FAAGMPBJ_00044	CDS	1338	ampG		COG0477	Anhydromuropeptide permease
FAAGMPBJ_00045	CDS	570	gpmB_1	5.4.2.-		phosphoglycerate mutase GpmB
FAAGMPBJ_00046	CDS	792	cobV	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
FAAGMPBJ_00047	CDS	999	cobT_1	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FAAGMPBJ_00048	CDS	639		1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
FAAGMPBJ_00049	CDS	1461	cobQ			Cobyric acid synthase
FAAGMPBJ_00050	CDS	927	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
FAAGMPBJ_00051	CDS	777	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
FAAGMPBJ_00052	CDS	972	hmuU		COG0609	Hemin transport system permease protein HmuU
FAAGMPBJ_00053	CDS	849				hypothetical protein
FAAGMPBJ_00054	CDS	612	cobO	2.5.1.17		Corrinoid adenosyltransferase
FAAGMPBJ_00055	CDS	1029	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
FAAGMPBJ_00056	CDS	1941	btuB_1		COG4206	Vitamin B12 transporter BtuB
FAAGMPBJ_00057	CDS	549	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
FAAGMPBJ_00058	CDS	1005				hypothetical protein
FAAGMPBJ_00059	CDS	1008				hypothetical protein
FAAGMPBJ_00060	CDS	417				hypothetical protein
FAAGMPBJ_00061	CDS	513				hypothetical protein
FAAGMPBJ_00062	CDS	963				hypothetical protein
FAAGMPBJ_00063	CDS	2415				hypothetical protein
FAAGMPBJ_00064	CDS	3222				hypothetical protein
FAAGMPBJ_00065	CDS	378				hypothetical protein
FAAGMPBJ_00066	CDS	1065				hypothetical protein
FAAGMPBJ_00067	CDS	633				hypothetical protein
FAAGMPBJ_00068	CDS	777				hypothetical protein
FAAGMPBJ_00069	CDS	852	ydaD	1.-.-.-		General stress protein 39
FAAGMPBJ_00070	CDS	168				hypothetical protein
FAAGMPBJ_00071	CDS	2352				hypothetical protein
